Toyota,Corolla,Red,2018
Honda,Civic,Blue,2020
Ford,Mustang,Black,2019
Chevrolet,Impala,White,2017
Nissan,Altima,Gray,2016
Hyundai,Elantra,Silver,2015
Kia,Optima,Red,2021
Mazda,3,Blue,2019
Volkswagen,Passat,Black,2018
Subaru,Impreza,White,2020
Tesla,Model 3,Gray,2021
BMW,3 Series,Silver,2017
Audi,A4,Red,2019
Mercedes-Benz,C-Class,Blue,2018
Lexus,ES,Black,2020
Jaguar,XE,White,2021
Volvo,S60,Gray,2019
Infiniti,Q50,Silver,2016
Acura,Tl,Red,2015
Cadillac,CTS,Blue,2017
Make,Model,Color,Year
Toyota,Corolla,Red,2018
Honda,Civic,Blue,2020
Ford,Mustang,Black,2019
Chevrolet,Impala,White,2017
Nissan,Altima,Gray,2016
Hyundai,Elantra,Silver,2015
Kia,Optima,Red,2021
Mazda,3,Blue,2019
Volkswagen,Passat,Black,2018
Subaru,Impreza,White,2020
Tesla,Model 3,Gray,2021
BMW,3 Series,Silver,2017
Audi,A4,Red,2019
Mercedes-Benz,C-Class,Blue,2018
Lexus,ES,Black,2020
Jaguar,XE,White,2021
Volvo,S60,Gray,2019
Infiniti,Q50,Silver,2016
Acura,Tl,Red,2015
Cadillac,CTS,Blue,2017
Toyota,Camry,Gray,2018
Honda,Accord,White,2020
Ford,Focus,Black,2019
Chevrolet,Malibu,Red,2017
Nissan,Maxima,Silver,2016
Hyundai,Sonata,Blue,2015
Kia,Sportage,Black,2021
Mazda,CX-5,White,2019
Volkswagen,Jetta,Red,2018
Subaru,Legacy,Gray,2020
Tesla,Model S,Black,2021
BMW,5 Series,Blue,2017
Audi,Q5,White,2019
Mercedes-Benz,E-Class,Gray,2018
Lexus,IS,Red,2020
Jaguar,F-Pace,Black,2021
Volvo,XC60,Silver,2019
Infiniti,QX60,Blue,2016
Acura,MDX,White,2015
Cadillac,XT5,Gray,2017
Toyota,RAV4,Red,2018
Honda,CR-V,Black,2020
Ford,Explorer,Blue,2019
Chevrolet,Equinox,White,2017
Nissan,Rogue,Gray,2016
Hyundai,Tucson,Silver,2015
Kia,Sorento,Red,2021
Mazda,CX-9,Blue,2019
Volkswagen,Tiguan,Black,2018
